"commodity_code","commodity_name","definition","methodological_notes","source"
"CRUDE_WTI","Crude oil, West Texas Intermediate (WTI), commodity price ($/bbl, nominal $US)","Crude oil, US, West Texas Intermediate (WTI) 40` API.","Original Source: Bloomberg; Energy Intelligence Group (EIG); Organization of Petroleum Exporting Countries (OPEC); World Bank.","WB"
"DAP","DAP (diammonium phosphate), commodity price ($/mt, nominal $US)","DAP (diammonium phosphate), spot, free on board (f.o.b.) US Gulf.","Original Source: Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC).","WB"
"FISH_MEAL","Fish meal, commodity price ($/mt, nominal $US)","Fishmeal, from January 2021, German Fishmeal, Danish 64 percent Pro, free on board (f.o.b.) Bremen; January 1999 to December 2020, German, 64 percent protein, Ex Works (EXW) Hamburg.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"GOLD","Gold, commodity price ($/troy oz, nominal $US)","Gold (UK), 99.5 percent fine, London afternoon fixing, average of daily rates.","Original Source: Bloomberg; Kitco.com; International Monetary Fund, International Financial Statistics; London Bullion Market; Metals Week; Platts Metals Week; Shearson Lehman Brothers, Metal Market Weekly Review; Thomson Reuters Datastream; World Bank.","WB"
"GRNUT","Groundnuts, commodity price ($/mt, nominal $US)","Groundnuts (US), Runners 40/50, cost and freight (cfr) N.W. Europe. Europe beginning January 1999; previously (US), Runners 40/50 shelled basis, cost, insurance, and freight (c.i.f.). Rotterdam.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank.","WB"
"GRNUT_OIL","Groundnut oil, commodity price ($/mt, nominal $US)","Groundnut oil, Refined, FOR Ports India, beginning January 2023; December 2020-2022, Dutch Refined GroundNut Oil A/O, Ex Tank Rotterdam; January 1999-November 2020, U.S. crude, free on board (f.o.b.) South-East; previously any origin, c.i.f. Rotterdam.","Original Source: Markit Group Limited (formerly IHS Markit Agribusiness UK Ltd); Bloomberg; ISTA Mielke GmbH, Oil World; US Department of Agriculture; World Bank .","WB"
"iAGRICULTURE","Agriculture Price Index (2010=100), based on nominal $US commodity prices","The Agriculture price index comprises three sub-indices: Beverages (12.9 percent), Food (61.7 percent), and Raw Materials (25.4 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iBASEMET","Base Metals Price Index (2010=100), based on nominal $US commodity prices","The Base Metals price index comprises six commodities: Aluminum (32.9 percent), Copper (47.4 percent), Lead (2.2 percent), Nickel (9.9 percent), Tin (2.6 percent), and Zinc (5.0 percent). It is a subset of the Metals and Minerals price index, which includes the same six commodities plus iron ore.","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iBEVERAGES","Beverages Price Index (2010=100), based on nominal $US commodity prices","The Beverages price index comprises three commodities: Coffee (45.7 percent), Cocoa (36.9 percent), and Tea (17.4 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iENERGY","Energy Price Index (2010=100), based on nominal $US commodity prices","The Energy price index comprises three commodities: Coal (4.7 percent), Crude Oil (84.6 percent), and Natural Gas (10.8 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iFATS_OILS","Oils and Meals Price Index (2010=100), based on nominal $US commodity prices","The Vegetable Oils and Meals price index comprises six commodities: Soybeans (24.6 percent), Soybean Oil (13.0 percent), Soybean Meal (26.3 percent), Palm Oil (30.2 percent), Coconut Oil (3.1 percent), and Groundnut Oil (2.8 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100. The groundnut oil weight includes groundnuts.","WB"
"iFERTILIZERS","Fertilizers Price Index (2010=100), based on nominal $US commodity prices","The Fertilizers price index comprises four commodities: Natural Phosphate Rock (16.9 percent), Phosphate (21.7 percent), Potassium (20.1 percent), and Nitrogenous (41.3 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iFOOD","Food Price Index (2010=100), based on nominal $US commodity prices","The Food price index comprises three sub-indices: Cereals/Grains (28.2 percent), Vegetable Oils and Meals (40.8 percent), and Other Food (31.0 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iGRAINS","Grains Price Index (2010=100), based on nominal $US commodity prices","The Grains (or Cereals) price index comprises four commodities: Rice (30.1 percent), Wheat (25.2 percent), Maize (40.7 percent), and Barley (4.1 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100. The maize weight includes sorghum.","WB"
"iMETMIN","Metals and Minerals Price Index (2010=100), based on nominal $US commodity prices","The Metals and Minerals price index comprises seven commodities: Aluminum (26.7 percent), Copper (38.4 percent), Iron Ore (18.9 percent), Lead (1.8 percent), Nickel (8.1 percent), Tin (2.1 percent), and Zinc (4.1 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iNATGAS","Natural gas index (2010=100), based on nominal $US commodity prices","Natural gas index (Laspeyres), average of Europe, US and Japan (LNG), weights based on 5-year average consumption volumes, updated every 5 years, except the 11-year period 1960-70.","Original Source: World Bank.","WB"
"INFERRED_BANANAS","Banana Index, Inferred","Bananas are reported to make up 15.7% of the Other Food Index. There are two Banana commodity prices quoted; therefore it is assumed that each one makes up 50% of the Banana index.",NA,"WB"
"INFERRED_COAL","Coal Index, Inferred","Coal is reported to make up 4.65% of the Energy Index. There are two Coal commodity prices quoted; therefore it is assumed that each one makes up 50% of the Coal index.",NA,"WB"
"INFERRED_COFFEE","Coffee Index, Inferred","Coffee is reported to make up 45.7% of the Beverage Index. There are two Coffee commodity prices quoted; therefore it is assumed that each one makes up 50% of the Coffee index.",NA,"WB"
"INFERRED_GNUTS","Groundnut Index, Inferred","Groundnuts are reported to make up 2.8% of the Oils and Fats Index. There are two Groundnut commodity prices quoted (groundnuts and groundnut oil); therefore it is assumed that each one makes up 50% of the Groundnut index.",NA,"WB"
"INFERRED_LOGS","Logs Index, Inferred","Logs are reported to make up 22.1% of the Timber Index. There are two Logs commodity prices quoted; therefore it is assumed that each one makes up 50% of the Logs index.",NA,"WB"
"INFERRED_MAIZE","Maize Index, Inferred","Maize is reported to make up 40.7% of the Cereals Index. There are two Maize commodity prices quoted; therefore it is assumed that each one makes up 50% of the Maize index.",NA,"WB"
"iTotal","Overall Index","The World Bank Overall price index comprises two sub-indices: Energy (67 percent) and Non-energy (33 percent).",NA,"WB"
"INFERRED_RICE","Rice Index, Inferred","Rice is reported to make up 30.1% of the Cereals Index. There are four Rice commodity prices quoted; therefore it is assumed that each one makes up 25% of the Rice index.",NA,"WB"
"INFERRED_RUBBER","Rubber Index, Inferred","Rubber is reported to make up 46.7% of the Other Raw Materials Index. There are two Rubber commodity prices quoted; therefore it is assumed that each one makes up 50% of the Rubber index.",NA,"WB"
"INFERRED_SUGAR","Sugar Index, Inferred","Sugar is reported to make up 31.5% of the Other Food Index. There are three Sugar commodity prices quoted; therefore it is assumed that each one makes up 33.3% of the Sugar index.",NA,"WB"
"INFERRED_SWOOD","Sawnwood Index, Inferred","Sawnwood is reported to make up 77.9% of the Timber Index. There are two Sawnwood commodity prices quoted; therefore it is assumed that each one makes up 50% of the Sawnwood index.",NA,"WB"
"INFERRED_WHEAT","Wheat Index, Inferred","Wheat is reported to make up 25.2% of the Cereals Index. There are two Wheat commodity prices quoted; therefore it is assumed that each one makes up 50% of the Wheat index.",NA,"WB"
"iNONFUEL","Non-Energy Commodities Price Index (2010=100), based on nominal $US commodity prices","The Non-Energy price index comprises three sub-indices: Metals and Minerals (31.6 percent), Agriculture (64.9 percent), and Fertilizer (3.6 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iOTHERFOOD","Other Food Price Index (2010=100), based on nominal $US commodity prices","The Other Food price index comprises five commodities: Sugar (31.5 percent), Bananas (15.7 percent), Beef (22.0 percent), Chicken (19.2 percent), and Oranges (11.6 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100. The oranges weight includes orange juice.","WB"
"iOTHERRAWMAT","Other Raw Materials Price Index (2010=100), based on nominal $US commodity prices","The Other Raw Materials price index comprises three commodities: Cotton (24.7 percent), Natural Rubber (46.7 percent), and Tobacco (28.7 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iPRECIOUSMET","Precious Metals Price Index (2010=100), based on nominal $US commodity prices","The Precious Metals price index comprises three commodities: Gold (77.8 percent), Silver (18.9 percent), and Platinum (3.3 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"iRAW_MATERIAL","Agricultural Raw Materials Price Index (2010=100), based on nominal $US commodity prices","The Agricultural Raw Materials price index comprises two sub-indices: Timber (52.2 percent), and Other Raw Materials (47.8 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"IRON_ORE","Iron ore, cost and freight (cfr) spot, commodity price ($/dmtu, nominal $US)","Iron ore, spot in US dollar/dry ton and contract in US cents/dmtu. For years 2008 (December) to present, spot, (any origin) fines, 62 percent Fe, c.f.r. China; during 2006 to 2008 (November) spot, 63.5 percent Fe. Earlier data refer to annual contract prices (Brazil for Europe,) VALE Carajas mines sinter feed, free on board (f.o.b.) Ponta da Madeira during years 1987-2009; Itabira mines f.o.b. Tubarao for years 1960-86. Unit dmtu denotes dry metric ton unit , i.e. 1 percent Fe-unit.","Original Source: VALE; CVRD; UNCTAD; World Bank.","WB"
"iTIMBER","Timber Price Index (2010=100), based on nominal $US commodity prices","The Timber price index comprises two commodities: Logs (22.1 percent) and Sawnwood (77.9 percent).","The World Bank uses the Laspeyres price index formula in the calculation of its commodity price indices; in this formula, commodity weights from a base time period are used to measure price changes. Relative to other price index formulas, the Laspeyres formula has a tendency to overstate inflation because it does not account for changing demand in the face of price changes. In this case, weights of primary commodities included in the indices are derived based on developing countries' (that is, low- and middle-income countries as defined by the World Bank in June 2006) export values between 2002 and 2004. Underlying commodity prices are collected from a variety of international commodity study groups, government agencies, industry trade journals, and data feed systems. Sources for the trade data are United Nations' Comtrade Database via World Bank WITS system, Food and Agriculture Organization FAOSTAT Database, International Energy Agency Database, BP Statistical Review of World Energy, World Metal Statistics, World Bureau of Metal Statistics and World Bank staff estimates. The index is calculated to a base year of 2010 = 100.","WB"
"LAMB","Lamb, commodity price ($/kg, nominal $US)","Lamb (US), boxed lamb cuts, leg, double, trotter-on, less than truckload (LTL) pricing, from August 2010; previously, (New Zealand) frozen whole carcasses Prime Medium (PM) wholesale, Smithfield, London beginning January 2006; previously Prime Light (PL).","Original Source: Meat Trade Journal; Urner Barry; World Bank.","WB"
"LEAD","Lead, commodity price ($/mt, nominal $US)","Lead (LME), refined, 99.97 percent purity, settlement price.","Original Source: Bloomberg; Engineering and Mining Journal; Platts Metals Week; Thomson Reuters Datastream; World Bank.","WB"
"LOGS_CMR","Logs, Cameroon, commodity price ($/cubic meter, nominal $US)","Logs (Africa), sapele, high quality (loyal and marchand), 80 centimeter or more, free on board (f.o.b.) Douala, Cameroon beginning January 1996; previously of unspecified dimension.","Original Source: International Tropical Timber Organization; Marches Tropicaux et Mediterraneens; World Bank.","WB"
"LOGS_MYS","Logs, Malaysian, commodity price ($/cubic meter, nominal $US)","Logs (Southeast Asia), meranti, Sarawak, sale price charged by importers, Tokyo beginning February 1993; previously average of Sabah and Sarawak weighted by Japanese import volumes.","Original Source: International Tropical Timber Organization; Mokuzai Shikyo Geppo; World Bank.","WB"
"MAIZE","Maize, commodity price ($/mt, nominal $US)","Maize (US), no. 2, yellow, free on board (f.o.b.) US Gulf ports.","Original Source: Bloomberg; US Department of Agriculture; World Bank.","WB"
"NGAS_EUR","Natural gas, Europe, commodity price ($/mmbtu, nominal $US)","Natural Gas (Europe), from April 2015, Netherlands Title Transfer Facility (TTF); April 2010 to March 2015, average import border price and a spot price component, including UK; during June 2000 - March 2010 prices excludes UK.","Original Source: Bloomberg; World Gas Intelligence; World Bank.","WB"
"NGAS_JP","Liquefied natural gas, Japan, commodity price ($/mmbtu, nominal $US)","Liquefied natural gas (Japan), LNG, import price, cost, insurance, and freight (c.i.f.); recent two months' averages are estimates.","Original Source: Official Statistics of Japan; World Gas Intelligence; World Bank.","WB"
"NGAS_US","Natural gas, US, commodity price ($/mmbtu, nominal $US)","Natural Gas (US), spot price at Henry Hub, Louisiana.","Original Source: Bloomberg; Thomson Reuters Datastream; The Wall Street Journal; World Bank.","WB"
"NICKEL","Nickel, commodity price ($/mt, nominal $US)","Nickel (LME), cathodes, minimum 99.8 percent purity, settlement price beginning 2005; previously cash price.","Original Source: Bloomberg; Platts Metals Week, Thomson Reuters Datastream; World Bank.","WB"
"ORANGE","Orange, commodity price ($/kg, nominal $US)","Oranges (Mediterranean exporters) navel, European Union indicative import price, cost, insurance, and freight (c.i.f.). Paris.","Original Source: Bloomberg; INTERFEL, Fel Actualite hebdo; FRuiTrop; Marche Europeens Des Fruits et Legumes; World Bank.","WB"
