"db_code","metadata_type","attr_code","metadata_attribute","metadata_value"
"PCPS","COMMODITY","PBARL","COMMODITY_NAME","Barley"
"PCPS","COMMODITY","PBARL","COMMODITY_CODE","PBARL"
"PCPS","COMMODITY","PBARL","COMMODITY_SHORT_NAME","Barley"
"PCPS","COMMODITY","PBARL","COMMODITY_FULL_NAME","Primary Commodity Prices, Barley"
"PCPS","COMMODITY","PBARL","COMMODITY_DEFINITION","Barley, Canadian no.1 Western Barley, spot price, US$ per metric ton"
"PCPS","COMMODITY","PBARL","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PBARL","COMMODITY_SOURCE_CODE","PBARL"
"PCPS","COMMODITY","PBARL","COMMODITY_SDMX_NAME","Primary Commodity Prices, Barley"
"PCPS","COMMODITY","PBARL","COMMODITY_SDMX_CODE","PBARL"
"PCPS","COMMODITY","PBEEF","COMMODITY_NAME","Beef "
"PCPS","COMMODITY","PBEEF","COMMODITY_CODE","PBEEF"
"PCPS","COMMODITY","PBEEF","COMMODITY_SHORT_NAME","Beef "
"PCPS","COMMODITY","PBEEF","COMMODITY_FULL_NAME","Primary Commodity Prices, Beef "
"PCPS","COMMODITY","PBEEF","COMMODITY_DEFINITION","Beef, Australian and New Zealand 85% lean fores, CIF U.S. import price, US cents per pound"
"PCPS","COMMODITY","PBEEF","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PBEEF","COMMODITY_SOURCE_CODE","PBEEF"
"PCPS","COMMODITY","PBEEF","COMMODITY_SDMX_NAME","Primary Commodity Prices, Beef "
"PCPS","COMMODITY","PBEEF","COMMODITY_SDMX_CODE","PBEEF"
"PCPS","COMMODITY","PBEVE","COMMODITY_NAME","Beverages index "
"PCPS","COMMODITY","PBEVE","COMMODITY_CODE","PBEVE"
"PCPS","COMMODITY","PBEVE","COMMODITY_SHORT_NAME","Beverages index "
"PCPS","COMMODITY","PBEVE","COMMODITY_FULL_NAME","Primary Commodity Prices, Beverages index "
"PCPS","COMMODITY","PBEVE","COMMODITY_DEFINITION","Beverage Price Index, 2016 = 100, includes Coffee, Tea, and Cocoa"
"PCPS","COMMODITY","PBEVE","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PBEVE","COMMODITY_SOURCE_CODE","PBEVE"
"PCPS","COMMODITY","PBEVE","COMMODITY_SDMX_NAME","Primary Commodity Prices, Beverages index "
"PCPS","COMMODITY","PBEVE","COMMODITY_SDMX_CODE","PBEVE"
"PCPS","COMMODITY","POILBRE","COMMODITY_NAME","Brent Crude "
"PCPS","COMMODITY","POILBRE","COMMODITY_CODE","POILBRE"
"PCPS","COMMODITY","POILBRE","COMMODITY_SHORT_NAME","Brent Crude "
"PCPS","COMMODITY","POILBRE","COMMODITY_FULL_NAME","Primary Commodity Prices, Brent Crude "
"PCPS","COMMODITY","POILBRE","COMMODITY_DEFINITION","Crude Oil (petroleum),  Dated Brent, light blend 38 API, fob U.K., US$ per barrel"
"PCPS","COMMODITY","POILBRE","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","POILBRE","COMMODITY_SOURCE_CODE","POILBRE"
"PCPS","COMMODITY","POILBRE","COMMODITY_SDMX_NAME","Primary Commodity Prices, Brent Crude "
"PCPS","COMMODITY","POILBRE","COMMODITY_SDMX_CODE","POILBRE"
"PCPS","COMMODITY","PCERE","COMMODITY_NAME","Cereal  index"
"PCPS","COMMODITY","PCERE","COMMODITY_CODE","PCERE"
"PCPS","COMMODITY","PCERE","COMMODITY_SHORT_NAME","Cereal  index"
"PCPS","COMMODITY","PCERE","COMMODITY_FULL_NAME","Primary Commodity Prices, Cereal  index"
"PCPS","COMMODITY","PCERE","COMMODITY_DEFINITION","Cereals Price Index, 2016 = 100, includes Barley, Maize (Corn), Oats, Rice, Sorghum and Wheat"
"PCPS","COMMODITY","PCERE","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCERE","COMMODITY_SOURCE_CODE","PCERE"
"PCPS","COMMODITY","PCERE","COMMODITY_SDMX_NAME","Primary Commodity Prices, Cereal  index"
"PCPS","COMMODITY","PCERE","COMMODITY_SDMX_CODE","PCERE"
"PCPS","COMMODITY","PCHROM","COMMODITY_NAME","Chromium"
"PCPS","COMMODITY","PCHROM","COMMODITY_CODE","PCHROM"
"PCPS","COMMODITY","PCHROM","COMMODITY_SHORT_NAME","Chromium"
"PCPS","COMMODITY","PCHROM","COMMODITY_FULL_NAME","Primary Commodity Prices, Chromium"
"PCPS","COMMODITY","PCHROM","COMMODITY_DEFINITION","Chromium, #1 Chromium = 99.2%, 99A, Coarse Particle, Fine Particle, USD/metric ton"
"PCPS","COMMODITY","PCHROM","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCHROM","COMMODITY_SOURCE_CODE","PCHROM"
"PCPS","COMMODITY","PCHROM","COMMODITY_SDMX_NAME","Primary Commodity Prices, Chromium"
"PCPS","COMMODITY","PCHROM","COMMODITY_SDMX_CODE","PCHROM"
"PCPS","COMMODITY","PCOAL","COMMODITY_NAME","Coal index "
"PCPS","COMMODITY","PCOAL","COMMODITY_CODE","PCOAL"
"PCPS","COMMODITY","PCOAL","COMMODITY_SHORT_NAME","Coal index "
"PCPS","COMMODITY","PCOAL","COMMODITY_FULL_NAME","Primary Commodity Prices, Coal index "
"PCPS","COMMODITY","PCOAL","COMMODITY_DEFINITION","Coal Price Index, 2016 = 100, includes Australian and South African Coal"
"PCPS","COMMODITY","PCOAL","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOAL","COMMODITY_SOURCE_CODE","PCOAL"
"PCPS","COMMODITY","PCOAL","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coal index "
"PCPS","COMMODITY","PCOAL","COMMODITY_SDMX_CODE","PCOAL"
"PCPS","COMMODITY","PCOALAU","COMMODITY_NAME","Coal, Australia"
"PCPS","COMMODITY","PCOALAU","COMMODITY_CODE","PCOALAU"
"PCPS","COMMODITY","PCOALAU","COMMODITY_SHORT_NAME","Coal, Australia"
"PCPS","COMMODITY","PCOALAU","COMMODITY_FULL_NAME","Primary Commodity Prices, Coal, Australia"
"PCPS","COMMODITY","PCOALAU","COMMODITY_DEFINITION","Coal, Australian thermal coal, 12,000- btu/pound, less than 1% sulfur, 14% ash, FOB Newcastle/Port Kembla, US$ per metric ton"
"PCPS","COMMODITY","PCOALAU","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOALAU","COMMODITY_SOURCE_CODE","PCOALAU"
"PCPS","COMMODITY","PCOALAU","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coal, Australia"
"PCPS","COMMODITY","PCOALAU","COMMODITY_SDMX_CODE","PCOALAU"
"PCPS","COMMODITY","PCOALSA","COMMODITY_NAME","Coal, South Africa "
"PCPS","COMMODITY","PCOALSA","COMMODITY_CODE","PCOALSA"
"PCPS","COMMODITY","PCOALSA","COMMODITY_SHORT_NAME","Coal, South Africa "
"PCPS","COMMODITY","PCOALSA","COMMODITY_FULL_NAME","Primary Commodity Prices, Coal, South Africa "
"PCPS","COMMODITY","PCOALSA","COMMODITY_DEFINITION","Coal, South African export price, US$ per metric ton"
"PCPS","COMMODITY","PCOALSA","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOALSA","COMMODITY_SOURCE_CODE","PCOALSA"
"PCPS","COMMODITY","PCOALSA","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coal, South Africa "
"PCPS","COMMODITY","PCOALSA","COMMODITY_SDMX_CODE","PCOALSA"
"PCPS","COMMODITY","PCOBA","COMMODITY_NAME","Cobalt "
"PCPS","COMMODITY","PCOBA","COMMODITY_CODE","PCOBA"
"PCPS","COMMODITY","PCOBA","COMMODITY_SHORT_NAME","Cobalt "
"PCPS","COMMODITY","PCOBA","COMMODITY_FULL_NAME","Primary Commodity Prices, Cobalt "
"PCPS","COMMODITY","PCOBA","COMMODITY_DEFINITION","Cobalt, U.S. cathodes, spot"
"PCPS","COMMODITY","PCOBA","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOBA","COMMODITY_SOURCE_CODE","PCOBA"
"PCPS","COMMODITY","PCOBA","COMMODITY_SDMX_NAME","Primary Commodity Prices, Cobalt "
"PCPS","COMMODITY","PCOBA","COMMODITY_SDMX_CODE","PCOBA"
"PCPS","COMMODITY","PCOCO","COMMODITY_NAME","Cocoa"
"PCPS","COMMODITY","PCOCO","COMMODITY_CODE","PCOCO"
"PCPS","COMMODITY","PCOCO","COMMODITY_SHORT_NAME","Cocoa"
"PCPS","COMMODITY","PCOCO","COMMODITY_FULL_NAME","Primary Commodity Prices, Cocoa"
"PCPS","COMMODITY","PCOCO","COMMODITY_DEFINITION","Cocoa beans, International Cocoa Organization cash price, CIF US and European ports, US$ per metric ton"
"PCPS","COMMODITY","PCOCO","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOCO","COMMODITY_SOURCE_CODE","PCOCO"
"PCPS","COMMODITY","PCOCO","COMMODITY_SDMX_NAME","Primary Commodity Prices, Cocoa"
"PCPS","COMMODITY","PCOCO","COMMODITY_SDMX_CODE","PCOCO"
"PCPS","COMMODITY","PCOIL","COMMODITY_NAME","Coconut Oil "
"PCPS","COMMODITY","PCOIL","COMMODITY_CODE","PCOIL"
"PCPS","COMMODITY","PCOIL","COMMODITY_SHORT_NAME","Coconut Oil "
"PCPS","COMMODITY","PCOIL","COMMODITY_FULL_NAME","Primary Commodity Prices, Coconut Oil "
"PCPS","COMMODITY","PCOIL","COMMODITY_DEFINITION","Coconut Oil, Philippine/Indonesia origin, CIF Rotterdam, US$ per metric ton"
"PCPS","COMMODITY","PCOIL","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOIL","COMMODITY_SOURCE_CODE","PCOIL"
"PCPS","COMMODITY","PCOIL","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coconut Oil "
"PCPS","COMMODITY","PCOIL","COMMODITY_SDMX_CODE","PCOIL"
"PCPS","COMMODITY","PCOFF","COMMODITY_NAME","Coffee index "
"PCPS","COMMODITY","PCOFF","COMMODITY_CODE","PCOFF"
"PCPS","COMMODITY","PCOFF","COMMODITY_SHORT_NAME","Coffee index "
"PCPS","COMMODITY","PCOFF","COMMODITY_FULL_NAME","Primary Commodity Prices, Coffee index "
"PCPS","COMMODITY","PCOFF","COMMODITY_DEFINITION","Coffee Price Index, 2016 = 100, includes Other Mild Arabicas and Robusta"
"PCPS","COMMODITY","PCOFF","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOFF","COMMODITY_SOURCE_CODE","PCOFF"
"PCPS","COMMODITY","PCOFF","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coffee index "
"PCPS","COMMODITY","PCOFF","COMMODITY_SDMX_CODE","PCOFF"
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_NAME","Coffee, Other Mild Arabica "
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_CODE","PCOFFOTM"
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_SHORT_NAME","Coffee, Other Mild Arabica "
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_FULL_NAME","Primary Commodity Prices, Coffee, Other Mild Arabica "
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_DEFINITION","Coffee, Other Mild Arabicas, International Coffee Organization New York cash price, ex-dock New York, US cents per pound"
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_SOURCE_CODE","PCOFFOTM"
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coffee, Other Mild Arabica "
"PCPS","COMMODITY","PCOFFOTM","COMMODITY_SDMX_CODE","PCOFFOTM"
"PCPS","COMMODITY","PCOFFROB","COMMODITY_NAME","Coffee, Robustas "
"PCPS","COMMODITY","PCOFFROB","COMMODITY_CODE","PCOFFROB"
"PCPS","COMMODITY","PCOFFROB","COMMODITY_SHORT_NAME","Coffee, Robustas "
"PCPS","COMMODITY","PCOFFROB","COMMODITY_FULL_NAME","Primary Commodity Prices, Coffee, Robustas "
"PCPS","COMMODITY","PCOFFROB","COMMODITY_DEFINITION","Coffee, Robusta, International Coffee Organization New York cash price, ex-dock New York, US cents per pound"
"PCPS","COMMODITY","PCOFFROB","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOFFROB","COMMODITY_SOURCE_CODE","PCOFFROB"
"PCPS","COMMODITY","PCOFFROB","COMMODITY_SDMX_NAME","Primary Commodity Prices, Coffee, Robustas "
"PCPS","COMMODITY","PCOFFROB","COMMODITY_SDMX_CODE","PCOFFROB"
"PCPS","COMMODITY","PEXGALL","COMMODITY_NAME","Commodities for Index: All, excluding Gold"
"PCPS","COMMODITY","PEXGALL","COMMODITY_CODE","PEXGALL"
"PCPS","COMMODITY","PEXGALL","COMMODITY_SHORT_NAME","Commodities for Index: All, excluding Gold"
"PCPS","COMMODITY","PEXGALL","COMMODITY_FULL_NAME","Primary Commodity Prices, Commodities for Index: All, excluding Gold"
"PCPS","COMMODITY","PEXGALL","COMMODITY_DEFINITION","Commodities for Index: All, excluding Gold, 2016 = 100"
"PCPS","COMMODITY","PEXGALL","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PEXGALL","COMMODITY_SOURCE_CODE","PEXGALL"
"PCPS","COMMODITY","PEXGALL","COMMODITY_SDMX_NAME","Primary Commodity Prices, Commodities for Index: All, excluding Gold"
"PCPS","COMMODITY","PEXGALL","COMMODITY_SDMX_CODE","PEXGALL"
"PCPS","COMMODITY","PCOPP","COMMODITY_NAME","Copper "
"PCPS","COMMODITY","PCOPP","COMMODITY_CODE","PCOPP"
"PCPS","COMMODITY","PCOPP","COMMODITY_SHORT_NAME","Copper "
"PCPS","COMMODITY","PCOPP","COMMODITY_FULL_NAME","Primary Commodity Prices, Copper "
"PCPS","COMMODITY","PCOPP","COMMODITY_DEFINITION","Copper, grade A cathode, LME spot price, CIF European ports, US$ per metric ton"
"PCPS","COMMODITY","PCOPP","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOPP","COMMODITY_SOURCE_CODE","PCOPP"
"PCPS","COMMODITY","PCOPP","COMMODITY_SDMX_NAME","Primary Commodity Prices, Copper "
"PCPS","COMMODITY","PCOPP","COMMODITY_SDMX_CODE","PCOPP"
"PCPS","COMMODITY","PMAIZMT","COMMODITY_NAME","Corn "
"PCPS","COMMODITY","PMAIZMT","COMMODITY_CODE","PMAIZMT"
"PCPS","COMMODITY","PMAIZMT","COMMODITY_SHORT_NAME","Corn "
"PCPS","COMMODITY","PMAIZMT","COMMODITY_FULL_NAME","Primary Commodity Prices, Corn "
"PCPS","COMMODITY","PMAIZMT","COMMODITY_DEFINITION","Maize (corn), U.S. No.2 Yellow, FOB Gulf of Mexico, U.S. price, US$ per metric ton"
"PCPS","COMMODITY","PMAIZMT","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PMAIZMT","COMMODITY_SOURCE_CODE","PMAIZMT"
"PCPS","COMMODITY","PMAIZMT","COMMODITY_SDMX_NAME","Primary Commodity Prices, Corn "
"PCPS","COMMODITY","PMAIZMT","COMMODITY_SDMX_CODE","PMAIZMT"
"PCPS","COMMODITY","PCOTTIND","COMMODITY_NAME","Cotton "
"PCPS","COMMODITY","PCOTTIND","COMMODITY_CODE","PCOTTIND"
"PCPS","COMMODITY","PCOTTIND","COMMODITY_SHORT_NAME","Cotton "
"PCPS","COMMODITY","PCOTTIND","COMMODITY_FULL_NAME","Primary Commodity Prices, Cotton "
"PCPS","COMMODITY","PCOTTIND","COMMODITY_DEFINITION","Cotton, Cotton Outlook 'A Index', Middling 1-3/32 inch staple, CIF Liverpool, US cents per pound"
"PCPS","COMMODITY","PCOTTIND","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PCOTTIND","COMMODITY_SOURCE_CODE","PCOTTIND"
"PCPS","COMMODITY","PCOTTIND","COMMODITY_SDMX_NAME","Primary Commodity Prices, Cotton "
"PCPS","COMMODITY","PCOTTIND","COMMODITY_SDMX_CODE","PCOTTIND"
"PCPS","COMMODITY","PMILK","COMMODITY_NAME","Dairy Products, Milk"
"PCPS","COMMODITY","PMILK","COMMODITY_CODE","PMILK"
"PCPS","COMMODITY","PMILK","COMMODITY_SHORT_NAME","Dairy Products, Milk"
"PCPS","COMMODITY","PMILK","COMMODITY_FULL_NAME","Primary Commodity Prices, Dairy Products, Milk"
"PCPS","COMMODITY","PMILK","COMMODITY_DEFINITION","USDA Class 3 (formerly known as Basic Formula) Milk Spot Price, USD/cwt"
"PCPS","COMMODITY","PMILK","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PMILK","COMMODITY_SOURCE_CODE","PMILK"
"PCPS","COMMODITY","PMILK","COMMODITY_SDMX_NAME","Primary Commodity Prices, Dairy Products, Milk"
"PCPS","COMMODITY","PMILK","COMMODITY_SDMX_CODE","PMILK"
"PCPS","COMMODITY","PDAP","COMMODITY_NAME","Diammonium phosphate"
"PCPS","COMMODITY","PDAP","COMMODITY_CODE","PDAP"
"PCPS","COMMODITY","PDAP","COMMODITY_SHORT_NAME","Diammonium phosphate"
"PCPS","COMMODITY","PDAP","COMMODITY_FULL_NAME","Primary Commodity Prices, Diammonium phosphate"
"PCPS","COMMODITY","PDAP","COMMODITY_DEFINITION","US Gulf NOLA DAP Export Spot Price per MT, USD/metric tonne"
"PCPS","COMMODITY","PDAP","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PDAP","COMMODITY_SOURCE_CODE","PDAP"
"PCPS","COMMODITY","PDAP","COMMODITY_SDMX_NAME","Primary Commodity Prices, Diammonium phosphate"
"PCPS","COMMODITY","PDAP","COMMODITY_SDMX_CODE","PDAP"
"PCPS","COMMODITY","POILDUB","COMMODITY_NAME","Dubai Crude "
"PCPS","COMMODITY","POILDUB","COMMODITY_CODE","POILDUB"
"PCPS","COMMODITY","POILDUB","COMMODITY_SHORT_NAME","Dubai Crude "
"PCPS","COMMODITY","POILDUB","COMMODITY_FULL_NAME","Primary Commodity Prices, Dubai Crude "
"PCPS","COMMODITY","POILDUB","COMMODITY_DEFINITION","Crude Oil (petroleum), Dubai Fateh Fateh 32 API, US$ per barrel"
"PCPS","COMMODITY","POILDUB","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","POILDUB","COMMODITY_SOURCE_CODE","POILDUB"
"PCPS","COMMODITY","POILDUB","COMMODITY_SDMX_NAME","Primary Commodity Prices, Dubai Crude "
"PCPS","COMMODITY","POILDUB","COMMODITY_SDMX_CODE","POILDUB"
"PCPS","COMMODITY","PNRG","COMMODITY_NAME","Energy index "
"PCPS","COMMODITY","PNRG","COMMODITY_CODE","PNRG"
"PCPS","COMMODITY","PNRG","COMMODITY_SHORT_NAME","Energy index "
"PCPS","COMMODITY","PNRG","COMMODITY_FULL_NAME","Primary Commodity Prices, Energy index "
"PCPS","COMMODITY","PNRG","COMMODITY_DEFINITION","Fuel (Energy) Index, 2016 = 100, includes Crude oil (petroleum), Natural Gas, Coal Price and Propane Indices"
"PCPS","COMMODITY","PNRG","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PNRG","COMMODITY_SOURCE_CODE","PNRG"
"PCPS","COMMODITY","PNRG","COMMODITY_SDMX_NAME","Primary Commodity Prices, Energy index "
"PCPS","COMMODITY","PNRG","COMMODITY_SDMX_CODE","PNRG"
"PCPS","COMMODITY","PENTM","COMMODITY_NAME","Energy Transition Metal Index"
"PCPS","COMMODITY","PENTM","COMMODITY_CODE","PENTM"
"PCPS","COMMODITY","PENTM","COMMODITY_SHORT_NAME","Energy Transition Metal Index"
"PCPS","COMMODITY","PENTM","COMMODITY_FULL_NAME","Primary Commodity Prices, Energy Transition Metal Index"
"PCPS","COMMODITY","PENTM","COMMODITY_TOPIC","Real Sector"
"PCPS","COMMODITY","PENTM","COMMODITY_SOURCE_CODE","PENTM"
"PCPS","COMMODITY","PENTM","COMMODITY_SDMX_NAME","Primary Commodity Prices, Energy Transition Metal Index"
"PCPS","COMMODITY","PENTM","COMMODITY_SDMX_CODE","PENTM"
"PCPS","COMMODITY","PFERT","COMMODITY_NAME","Fertilizer"
"PCPS","COMMODITY","PFERT","COMMODITY_CODE","PFERT"
"PCPS","COMMODITY","PFERT","COMMODITY_SHORT_NAME","Fertilizer"
"PCPS","COMMODITY","PFERT","COMMODITY_FULL_NAME","Primary Commodity Prices, Fertilizer"
"PCPS","COMMODITY","PFERT","COMMODITY_DEFINITION","Fertilizer Index, 2016 = 100, includes DAP, Potash, UREA"
